id,yield
15000,5398.83795680815
15001,4572.697253511268
15002,7340.096870734622
15003,4853.754637237931
15004,4937.639166063657
15005,6315.313714455172
15006,6201.996207203203
15007,8137.590833534856
15008,6101.593221348205
15009,8231.457476040192
15010,7864.288725359074
15011,4325.611196748589
15012,5593.918303060797
15013,3331.859585613334
15014,6818.870757773425
15015,6254.92495137816
15016,8318.768570508639
15017,6807.134295442215
15018,3828.9863785185485
15019,6770.31761747987
15020,5771.079964874274
15021,4125.182817097444
15022,5574.7141780362535
15023,6237.197065354843
15024,3019.5223450023077
15025,6808.662806722423
15026,6150.322292551664
15027,6180.71484840702
15028,8185.256232953402
15029,6466.848107728067
15030,8163.183431250762
15031,7368.978328899686
15032,5578.906406247784
15033,7327.442650849837
15034,3922.2304312426613
15035,5390.152185034514
15036,6865.691855087814
15037,7379.46194714485
15038,5146.560514265612
15039,5614.122443990299
15040,6847.878625515104
15041,4318.897082679477
15042,5389.544173668741
15043,4933.87496794999
15044,8277.1450279264
15045,6384.440948277555
15046,6339.678701070014
15047,4412.805174444998
15048,7366.578804492138
15049,5470.772707628341
15050,3781.180272852147
15051,5272.470581621334
15052,6504.019061335955
15053,3448.490673068144
15054,4869.855412068941
15055,6721.279262946175
15056,5611.963619753167
15057,5586.112867101498
15058,5560.588267677244
15059,6362.925054404181
15060,6518.669054754399
15061,5613.917485922034
15062,6470.549800695879
15063,3398.720964942343
15064,3615.17370001805
15065,4615.936599645763
15066,4768.192625698352
15067,6891.242345628993
15068,6968.346417559984
15069,7817.260141696699
15070,7499.247136711338
15071,5533.416274924195
15072,5603.84060746375
15073,3284.829081690329
15074,4270.045107265168
15075,6742.29774539155
15076,5945.257741595213
15077,7835.678822000743
15078,5341.733686883526
15079,6213.227597608932
15080,3828.2771194419374
15081,7519.9751059168375
15082,3868.9045481727317
15083,7348.345678705611
15084,7380.118273412684
15085,6413.080432192812
15086,4294.945369996553
15087,8119.120031403776
15088,5570.840581635923
15089,7799.502637275569
15090,4403.5747162181415
15091,3527.628772821181
15092,4922.664026740912
15093,6889.830960649433
15094,6159.755329371151
15095,7204.460311920242
15096,4895.449267608993
15097,5512.049679773114
15098,7424.45539851021
15099,6466.088487040924
15100,7527.480894033082
15101,7520.739722019758
15102,7565.888625901559
15103,5130.292185988785
15104,5781.044942904957
15105,7063.936717983574
15106,6293.793561453464
15107,7282.207137214165
15108,5407.356735776356
15109,7873.542007084887
15110,5505.6314299585465
15111,6318.775219585245
15112,4033.9206818979974
15113,7299.091513917878
15114,7302.760126738345
15115,5578.7811302408245
15116,8299.397884481577
15117,8218.70726617941
15118,8243.292190643342
15119,5636.78874235978
15120,4251.610847569208
15121,6654.326924241685
15122,7606.417067490798
15123,7343.386474637548
15124,5291.201301563521
15125,4067.147699232878
15126,7344.400094883476
15127,7082.81600291956
15128,6192.9968472449
15129,4292.674017937168
15130,8162.084060977048
15131,5537.236134487775
15132,3723.3331758359996
15133,7856.4851155151955
15134,7366.046934017417
15135,6198.339223472787
15136,3806.0137093865105
15137,7262.79995131959
15138,6977.896713400691
15139,6382.597192802428
15140,6709.878736400122
15141,6151.550484978694
15142,5597.545118709088
15143,5608.781109460729
15144,6603.471870823837
15145,7519.153152033377
15146,6877.1521740150265
15147,7259.272527187863
15148,4879.966485909542
15149,6394.280741246075
15150,6703.937202747529
15151,7540.234811951519
15152,3671.823461954589
15153,4139.5381069873765
15154,6561.618562117055
15155,4888.634479531237
15156,6796.490498158244
15157,5466.757499587109
15158,4085.662539761903
15159,7527.724258065083
15160,6560.930845943273
15161,3793.0950784312317
15162,5537.098572204735
15163,6424.698604445973
15164,6591.974568269524
15165,4901.5002889898615
15166,5815.528659013111
15167,8125.766121025152
15168,6077.36717607609
15169,5527.233703240581
15170,6146.019127185211
15171,6637.52315007028
15172,5503.101352979618
15173,5123.540144458526
15174,4660.224752283597
15175,6923.381565878817
15176,7547.86489067972
15177,5134.012589263451
15178,5893.511894579583
15179,6422.470062159582
15180,6698.643896019007
15181,7492.746490049667
15182,5893.501257412003
15183,4806.3223924364565
15184,6284.6829676501475
15185,5707.6891291631255
15186,4346.50903105165
15187,3413.571328647765
15188,7223.29021682062
15189,5520.31122426901
15190,7220.545759897747
15191,2729.434378598647
15192,5630.86095192658
15193,4787.877998375758
15194,6587.653103254919
15195,5752.557521361162
15196,5862.138933175487
15197,7579.857423714569
15198,5614.499719277535
15199,6487.939534515399
15200,5825.693422259274
15201,4728.766818681912
15202,6636.861020574297
15203,4748.5790785693725
15204,4887.174859764504
15205,6517.853130773041
15206,8437.866867377292
15207,3802.7460853451385
15208,8742.957721866926
15209,5770.873753573948
15210,6160.554998932559
15211,5718.49126077344
15212,6843.597391487308
15213,5606.62690423023
15214,7852.778879660455
15215,7119.341803025786
15216,5853.883960643172
15217,8273.902960864762
15218,6731.510475601066
15219,7299.742324649483
15220,4699.045056113125
15221,4134.540219054223
15222,3828.4309247926485
15223,6554.9197471630305
15224,3794.1272467227354
15225,7407.637649743735
15226,7329.366958095223
15227,7265.706034726422
15228,7538.689799188425
15229,6936.862331656535
15230,6943.159562318551
15231,6123.6179330257155
15232,8107.572494165149
15233,4968.057296049645
15234,3778.6282238736594
15235,4038.7602110442963
15236,7436.749539586884
15237,5544.618415897237
15238,4205.062524247191
15239,5580.241327760879
15240,6366.391320928338
15241,2811.1819845427704
15242,6194.636901181011
15243,3443.7071629720585
15244,6906.420685428456
15245,6163.866133101481
15246,7722.7574778478975
15247,6301.338248850938
15248,6573.615593394592
15249,5775.373247750318
15250,7537.881268261379
15251,6372.101785143492
15252,5899.553018173095
15253,7759.056206545666
15254,5535.564478015119
15255,5358.7048752560095
15256,4063.3494360954624
15257,3901.3552614409664
15258,5584.982544101558
15259,4699.880301943434
15260,4643.419527971947
15261,7512.426712223507
15262,6117.240327459294
15263,5865.473288835501
15264,7346.30424781099
15265,4271.769040071576
15266,5524.307511034422
15267,5793.982048396981
15268,6146.023979074234
15269,6448.022274840175
15270,3454.841572234593
15271,5795.220414771372
15272,5149.981621913279
15273,8152.028207627245
15274,6580.827123214833
15275,4038.527763774484
15276,6696.702303883391
15277,4170.900395818177
15278,2563.49655660955
15279,6213.57002406016
15280,7556.224403591437
15281,6479.579524372963
15282,6512.7653302777235
15283,4860.786718109894
15284,7561.140425905524
15285,6382.775975976315
15286,7066.081426575889
15287,3815.579923318808
15288,6808.400400368319
